-START-OF-DATA-
        0.0  1.1E18
        1.0  1.1E18
        1.0  0.0
        2.0  0.0
        2.0  1.1E18
        3.0  1.1E18
        3.0  0.0
        4.0  0.0
        4.0  1.1E18
        5.0  1.1E18
        5.0  0.0
        6.0  0.0
        6.0  1.1E18
        7.0  1.1E18
        7.0  0.0
        8.0  0.0
        8.0  1.1E18
        9.0  1.1E18
        9.0  0.0
       10.0  0.0
       10.0  1.1E18
       11.0  1.1E18
       11.0  0.0
       12.0  0.0
       12.0  1.1E18
       13.0  1.1E18
       13.0  0.0
       14.0  0.0
       14.0  1.1E18
       15.0  1.1E18
       15.0  0.0
       16.0  0.0
       16.0  1.1E18
       17.0  1.1E18
       17.0  0.0
       18.0  0.0
       18.0  1.1E18
       19.0  1.1E18
       19.0  0.0
       20.0  0.0
999999999.0  0.0
-END-OF-DATA-

3.49E4 PSU yr-1 <--> 1 m3 yr-1
=> 1.101360240000000e+12 = 1 m3 s-1 == 1.0E-6 Sv
=> scale unit PSU forcing by 1.1E18 to give 1.0 Sv

